stamp,seq_tw,drone_position_x,drone_position_y,drone_position_z,drone_position_qx,drone_position_qy,drone_position_qz,drone_position_qw,yolo_label,yolo_xmin,yolo_xmax,yolo_ymin,yolo_ymax,yolo_confidence,object_global_position_2d_x,object_global_position_2d_y,object_global_position_2d_z
1628079697.008120,155,3.163200,0.083126,1.065750,0.004370,-0.023347,-0.022989,0.999454,soldier,266,319,186,420,0.987166,9.502164,0.042679,0.000000
1628079697.074785,156,3.202612,0.080637,1.066375,0.001442,-0.028197,-0.020525,0.999391,soldier,264,319,187,420,0.992068,9.543928,0.068820,0.000000
1628079697.141423,157,3.288670,0.080709,1.071314,-0.002763,-0.033193,-0.020236,0.999240,soldier,268,325,197,421,0.930429,9.566640,0.019876,0.000000
1628079697.208115,158,3.338738,0.079419,1.070020,-0.001946,-0.032595,-0.019916,0.999268,soldier,268,324,210,423,0.971283,9.558536,0.023394,0.000000
1628079697.274777,159,3.406672,0.081817,1.066428,-0.003927,-0.034490,-0.019204,0.999213,soldier,267,324,210,420,0.972257,9.563671,0.049561,0.000000
1628079697.341448,160,3.459821,0.089159,1.066741,-0.003371,-0.037863,-0.020122,0.999075,soldier,267,325,215,421,0.980701,9.558600,0.030396,0.000000
1628079697.408110,161,3.512984,0.091055,1.063247,-0.001803,-0.038667,-0.023115,0.998983,soldier,268,326,214,433,0.964510,9.614639,-0.018939,0.000000
1628079697.474787,162,3.576656,0.094021,1.059952,-0.002210,-0.039287,-0.025426,0.998902,soldier,266,322,204,445,0.891340,9.561895,0.005015,0.000000
1628079697.541455,163,3.614743,0.094252,1.052602,-0.002685,-0.039480,-0.024792,0.998909,soldier,264,319,204,447,0.953251,9.543758,0.028525,0.000000
1628079697.608121,164,3.717542,0.100966,1.051388,-0.007475,-0.032422,-0.023665,0.999166,soldier,265,318,203,447,0.946341,9.584791,0.044065,0.000000
1628079697.674779,165,3.773799,0.103994,1.052810,-0.007375,-0.033315,-0.022968,0.999154,soldier,262,322,202,442,0.950652,9.583325,0.056382,0.000000
1628079697.741449,166,3.843216,0.105954,1.053890,-0.007692,-0.031478,-0.023591,0.999196,soldier,262,322,201,446,0.962037,9.598167,0.050947,0.000000
1628079697.808116,167,3.867927,0.104200,1.056198,-0.006923,-0.031642,-0.023935,0.999189,soldier,262,322,201,443,0.963562,9.622015,0.046261,0.000000
